KeyID,Year,Percentage,MajorTopic,Congress
1,1946,,Macroeconomics,79
2,1947,0.347958,Macroeconomics,80
3,1948,0.221154,Macroeconomics,80
4,1949,0.288126,Macroeconomics,81
5,1950,0.233645,Macroeconomics,81
6,1951,0.228571,Macroeconomics,82
7,1952,0.214286,Macroeconomics,82
8,1953,,Macroeconomics,83
9,1954,0.333333,Macroeconomics,83
10,1955,,Macroeconomics,84
11,1956,0.153005,Macroeconomics,84
12,1957,0.214514,Macroeconomics,85
13,1958,0.223665,Macroeconomics,85
14,1959,0.225399,Macroeconomics,86
15,1960,0.126343,Macroeconomics,86
16,1961,0.178629,Macroeconomics,87
17,1962,0.162725,Macroeconomics,87
18,1963,0.122066,Macroeconomics,88
19,1964,0.0897436,Macroeconomics,88
20,1965,0.063281,Macroeconomics,89
21,1966,0.153348,Macroeconomics,89
22,1967,0.108434,Macroeconomics,90
23,1968,0.0738494,Macroeconomics,90
24,1969,0.0694444,Macroeconomics,91
25,1970,0.117851,Macroeconomics,91
26,1971,0.280778,Macroeconomics,92
27,1972,0.241135,Macroeconomics,92
28,1973,0.386482,Macroeconomics,93
29,1974,0.563478,Macroeconomics,93
30,1975,0.596859,Macroeconomics,94
31,1976,0.555344,Macroeconomics,94
32,1977,0.453159,Macroeconomics,95
33,1978,0.599662,Macroeconomics,95
34,1979,0.507661,Macroeconomics,96
35,1980,0.563124,Macroeconomics,96
36,1981,0.69208,Macroeconomics,97
37,1982,0.787798,Macroeconomics,97
38,1983,0.612119,Macroeconomics,98
39,1984,0.527975,Macroeconomics,98
40,1985,0.448276,Macroeconomics,99
41,1986,0.374468,Macroeconomics,99
42,1987,0.313726,Macroeconomics,100
43,1988,0.33,Macroeconomics,100
44,1989,0.234375,Macroeconomics,101
45,1990,0.322539,Macroeconomics,101
46,1991,0.401276,Macroeconomics,102
47,1992,0.505342,Macroeconomics,102
48,1993,0.460902,Macroeconomics,103
49,1994,0.224404,Macroeconomics,103
50,1995,0.297101,Macroeconomics,104
51,1996,0.316416,Macroeconomics,104
52,1997,0.212364,Macroeconomics,105
53,1998,0.168942,Macroeconomics,105
54,1999,0.114541,Macroeconomics,106
