KeyID,Year,MajorTopic,subTopicCode,Topic,Mood,Congress
1,1946,1,100,100,,79
2,1946,10,0,1000s,,79
3,1946,10,1001,1001,,79
4,1946,10,1002,1002,,79
5,1950,1,100,100,,81
6,1951,1,100,100,,82
7,1952,1,100,100,,82
8,1953,1,100,100,,83
9,1954,1,100,100,,83
10,1955,1,100,100,,84
11,1946,12,1200,1200,,79
12,1946,12,0,1200s,,79
13,1946,12,1203,1203,,79
14,1946,12,1210,1210,,79
15,1946,12,1211,1211,,79
16,1946,12,1212,1212,,79
17,1946,13,1300,1300,,79
18,1946,13,0,1300s,,79
19,1946,13,1302,1302,,79
20,1946,14,1403,1403,,79
21,1946,15,1500,1500,51.466,79
22,1946,15,0,1500s,52.664,79
23,1946,15,1525,1525,,79
24,1946,16,1600,1600,,79
25,1946,17,0,1700s,,79
26,1946,17,1701,1701,,79
27,1946,17,1798,1798,,79
28,1973,1,100,100,49.231,93
29,1946,20,2000,2000,,79
30,1946,20,0,2000s,43.705,79
31,1946,20,2004,2004,,79
32,1977,1,100,100,44.838,95
33,1978,1,100,100,41.916,95
34,1979,1,100,100,44.501,96
35,1980,1,100,100,47.56,96
36,1981,1,100,100,47.46,97
37,1982,1,100,100,46.98,97
38,1946,21,0,2100s,75.601,79
39,1946,21,2105,2105,77.294,79
40,1985,1,100,100,46.709,99
41,1986,1,100,100,45.307,99
42,1987,1,100,100,45.549,100
43,1988,1,100,100,46.004,100
44,1989,1,100,100,49.188,101
45,1990,1,100,100,52.245,101
46,1991,1,100,100,52.874,102
47,1992,1,100,100,50.639,102
48,1993,1,100,100,49.242,103
49,1994,1,100,100,47.832,103
50,1995,1,100,100,48.852,104
51,1996,1,100,100,44.67,104
52,1997,1,100,100,49.993,105
53,1998,1,100,100,51.938,105
54,1999,1,100,100,50.441,106
55,2000,1,100,100,48.314,106
56,2001,1,100,100,47.903,107
57,2002,1,100,100,45.688,107
58,2003,1,100,100,44.434,108
59,2004,1,100,100,45.683,108
60,2005,1,100,100,46.626,109
61,1946,99,,,,79
62,2007,1,100,100,46.857,110
63,1947,10,0,1000s,,80
64,1947,10,1001,1001,,80
65,1947,10,1002,1002,,80
66,2011,1,100,100,,112
67,1946,1,101,101,,79
68,1947,1,101,101,,80
69,1948,1,101,101,,80
70,1949,1,101,101,,81
71,1950,1,101,101,,81
72,1947,12,1200,1200,,80
73,1947,12,0,1200s,,80
74,1947,12,1203,1203,,80
75,1947,12,1210,1210,,80
76,1947,12,1211,1211,,80
77,1947,12,1212,1212,,80
78,1947,13,1300,1300,,80
79,1947,13,0,1300s,,80
80,1947,13,1302,1302,,80
81,1947,14,1403,1403,,80
82,1947,15,1500,1500,53.075,80
83,1947,15,0,1500s,55.113,80
84,1947,15,1525,1525,,80
85,1947,16,1600,1600,,80
86,1947,17,0,1700s,,80
87,1947,17,1701,1701,,80
88,1947,17,1798,1798,,80
89,1968,1,101,101,,90
90,1947,20,2000,2000,,80
91,1947,20,0,2000s,46.164,80
92,1947,20,2004,2004,,80
93,1972,1,101,101,,92
94,1973,1,101,101,,93
95,1974,1,101,101,47.406,93
96,1975,1,101,101,46.188,94
97,1976,1,101,101,46.203,94
98,1977,1,101,101,45.869,95
99,1947,21,0,2100s,77.191,80
100,1947,21,2105,2105,79.518,80
101,1980,1,101,101,44.796,96
102,1981,1,101,101,44.796,97
103,1982,1,101,101,45.971,97
104,1983,1,101,101,47.155,98
105,1984,1,101,101,47.164,98
106,1985,1,101,101,48.897,99
107,1986,1,101,101,57.094,99
108,1987,1,101,101,53.536,100
109,1988,1,101,101,51.232,100
110,1989,1,101,101,51.232,101
111,1990,1,101,101,48.755,101
