Year,MajorTopic,Mood,Congress
1946,Macroeconomics,0.4462815241,79
1946,Transportation,0.4849609498,79
1946,Transportation,0.5745385035,79
1946,Transportation,0.5977282514,79
1950,Macroeconomics,0.3133593675,81
1951,Macroeconomics,0.5300512444,82
1952,Macroeconomics,0.3623796657,82
1953,Macroeconomics,0.4135551463,83
1954,Macroeconomics,0.2464000011,83
1955,Macroeconomics,0.3600492634,84
1946,Crime,0.02712062,79
1946,Crime,0.0620860778,79
1946,Crime,0.2050673379,79
1946,Crime,0.2250350069,79
1946,Crime,0.2392258053,79
1946,Crime,0.344374494,79
1946,Social Welfare,0.3680383149,79
1946,Social Welfare,0.5420138063,79
1946,Social Welfare,0.0437730526,79
1946,Housing & Development,0.214102323,79
1946,Domestic Commerce,0.1921601529,79
1946,Domestic Commerce,0.333660254,79
1946,Domestic Commerce,0.2916791666,79
1946,Defense,0.1882009479,79
1946,Science & Technology,0.5855099463,79
1946,Science & Technology,0.0086015192,79
1946,Science & Technology,0.1096163723,79
1973,Macroeconomics,0.4095759053,93
1946,Government Operations,0.3085302529,79
1946,Government Operations,0.4446312475,79
1946,Government Operations,0.0361699489,79
1977,Macroeconomics,0.0358054131,95
1978,Macroeconomics,0.2612089854,95
1979,Macroeconomics,0.2780021242,96
1980,Macroeconomics,0.383319843,96
1981,Macroeconomics,0.3055902946,97
1982,Macroeconomics,0.0670669148,97
1946,Public Lands,0.5298352443,79
1946,Public Lands,0.2393392101,79
1985,Macroeconomics,0.5984315609,99
1986,Macroeconomics,0.1207731477,99
1987,Macroeconomics,0.2942723884,100
1988,Macroeconomics,0.3675676817,100
1989,Macroeconomics,0.1218583899,101
1990,Macroeconomics,0.5616056362,101
1991,Macroeconomics,0.1572580924,102
1992,Macroeconomics,0.5676389825,102
1993,Macroeconomics,0.4117352046,103
1994,Macroeconomics,0.0704455908,103
1995,Macroeconomics,0.0370458973,104
1996,Macroeconomics,0.5910217202,104
1997,Macroeconomics,0.3180496696,105
1998,Macroeconomics,0.2997911128,105
1999,Macroeconomics,0.5371549478,106
2000,Macroeconomics,0.3695362479,106
2001,Macroeconomics,0.3211731067,107
2002,Macroeconomics,0.0468809823,107
2003,Macroeconomics,0.2392510137,108
2004,Macroeconomics,0.5957823795,108
2005,Macroeconomics,0.4246047774,109
1946,N/A,0.5733134165,79
2007,Macroeconomics,0.0882033755,110
1947,Transportation,0.0045061411,80
1947,Transportation,0.1108477449,80
1947,Transportation,0.1597339463,80
2011,Macroeconomics,0.5091036558,112
1946,Macroeconomics,0.5116592498,79
1947,Macroeconomics,0.1714161771,80
1948,Macroeconomics,0.0893619428,80
1949,Macroeconomics,0.19830644,81
1950,Macroeconomics,0.4839638977,81
1947,Crime,0.142021249,80
1947,Crime,0.2598932273,80
1947,Crime,0.0617943789,80
1947,Crime,0.0553931984,80
1947,Crime,0.2278686281,80
1947,Crime,0.0416383943,80
1947,Social Welfare,0.3809933825,80
1947,Social Welfare,0.1457751434,80
1947,Social Welfare,0.5392895908,80
1947,Housing & Development,0.2506539544,80
1947,Domestic Commerce,0.3967889022,80
1947,Domestic Commerce,0.3522811001,80
1947,Domestic Commerce,0.0917208908,80
1947,Defense,0.2505003139,80
1947,Science & Technology,0.1476406206,80
1947,Science & Technology,0.1286666312,80
1947,Science & Technology,0.039418006,80
1968,Macroeconomics,0.0355287806,90
1947,Government Operations,0.3080904554,80
1947,Government Operations,0.1630163467,80
1947,Government Operations,0.4883154381,80
1972,Macroeconomics,0.3299709439,92
1973,Macroeconomics,0.2217579677,93
1974,Macroeconomics,0.4371481668,93
1975,Macroeconomics,0.3819282579,94
1976,Macroeconomics,0.118242745,94
1977,Macroeconomics,0.4772392461,95
1947,Public Lands,0.2278229274,80
1947,Public Lands,0.4593027288,80
1980,Macroeconomics,0.0443881474,96
1981,Macroeconomics,0.4012930765,97
1982,Macroeconomics,0.3236822788,97
1983,Macroeconomics,0.1624286951,98
1984,Macroeconomics,0.0707267753,98
1985,Macroeconomics,0.0561353251,99
1986,Macroeconomics,0.4515261121,99
1987,Macroeconomics,0.2286609517,100
1988,Macroeconomics,0.4149217724,100
1989,Macroeconomics,0.3399690662,101
1990,Macroeconomics,0.1003693827,101
1991,Macroeconomics,0.4295338799,102
1992,Macroeconomics,0.328285003,102
1993,Macroeconomics,0.0972905187,103
1994,Macroeconomics,0.1418481346,103
1995,Macroeconomics,0.2405012086,104
1996,Macroeconomics,0.2187561543,104
1997,Macroeconomics,0.5166270409,105
1998,Macroeconomics,0.1418070361,105
1999,Macroeconomics,0.2973973943,106
2000,Macroeconomics,0.1215004704,106
1947,N/A,0.3657194319,80
2002,Macroeconomics,0.4059410603,107
1948,Transportation,0.5042843911,80
1948,Transportation,0.4496409343,80
1948,Transportation,0.4973610138,80
2006,Macroeconomics,0.0550185829,109
2007,Macroeconomics,0.4827550946,110
2008,Macroeconomics,0.0790041717,110
2009,Macroeconomics,0.4372115168,111
2010,Macroeconomics,0.4352484396,111
2011,Macroeconomics,0.2662595906,112
1948,Crime,0.3969097493,80
1948,Crime,0.2616936517,80
1948,Crime,0.1280563542,80
1948,Crime,0.2972645874,80
1948,Crime,0.4994107217,80
1948,Crime,0.1819592173,80
1948,Social Welfare,0.1534961693,80
1948,Social Welfare,0.3797015632,80
1948,Social Welfare,0.2184793346,80
1948,Housing & Development,0.5695744346,80
1948,Domestic Commerce,0.1189809006,80
1948,Domestic Commerce,0.4746509455,80
1948,Domestic Commerce,0.0889066001,80
1948,Defense,0.3263781859,80
1948,Science & Technology,0.2914981193,80
1948,Science & Technology,0.3980974118,80
1948,Science & Technology,0.3563545926,80
1963,Macroeconomics,0.3565178148,88
1948,Government Operations,0.0426470567,80
1948,Government Operations,0.2226463971,80
1948,Government Operations,0.2402386848,80
1967,Macroeconomics,0.3220473462,90
1968,Macroeconomics,0.4786137805,90
1969,Macroeconomics,0.5675629422,91
1970,Macroeconomics,0.059504938,91
1971,Macroeconomics,0.2388001802,92
1972,Macroeconomics,0.1276665656,92
1948,Public Lands,0.3146646079,80
1948,Public Lands,0.4851178504,80
1975,Macroeconomics,0.2493587818,94
1976,Macroeconomics,0.4034041241,94
1977,Macroeconomics,0.1812072204,95
1978,Macroeconomics,0.4366222216,95
1979,Macroeconomics,0.5942763374,96
1980,Macroeconomics,0.5150008177,96
1981,Macroeconomics,0.285667981,97
1982,Macroeconomics,0.0360714825,97
1983,Macroeconomics,0.3442989363,98
1984,Macroeconomics,0.062616906,98
1985,Macroeconomics,0.4739508364,99
1986,Macroeconomics,0.0842268919,99
1987,Macroeconomics,0.269746318,100
1988,Macroeconomics,0.186596949,100
1989,Macroeconomics,0.0637607766,101
1990,Macroeconomics,0.4894859217,101
