PublicLawNo,Year,Congress,HouseBill,SenateBill,Democrat,HouseCommittee,SenateCommittee,MajorTopic,subTopicCode,DateIntroduced,DatePassedHouse,DatePassedSenate,DateSigned
80242,1948,80,,S1394,0,,,Defense,1609,0,0,0,0
80307,1948,80,HR3146,,0,,,Public Lands,2104,0,0,0,0
80385,1948,80,HR6252,,0,,,Public Lands,2103,0,0,0,0
80396,1948,80,HR1426,,0,,,Defense,1609,0,0,0,0
80398,1948,80,HR4055,,1,,,Defense,1609,0,0,0,0
80399,1948,80,,S1020,1,,,Defense,1619,0,0,0,0
80400,1948,80,,S1324,0,,,Education,606,0,0,0,0
80401,1948,80,,S929,0,,,Defense,1699,0,0,0,0
80402,1948,80,HR3342,,0,,,International Affairs,1929,0,0,0,0
80403,1948,80,HJRES232,,0,,,International Affairs,1906,0,0,0,0
80404,1948,80,HR3645,,0,,,Public Lands,2101,0,0,0,0
80405,1948,80,,SJRES179,0,,,Government Operations,2011,0,0,0,0
80406,1948,80,HR2361,,0,,,Public Lands,2103,0,0,0,0
80407,1948,80,HR3322,,0,,,Public Lands,2102,0,0,0,0
80408,1948,80,HR3326,,0,,,Public Lands,2102,0,0,0,0
80409,1948,80,,S1005,1,,,International Affairs,1926,0,0,0,0
80410,1948,80,HR1826,,0,,,Public Lands,2103,0,0,0,0
80412,1948,80,HR3778,,1,,,Government Operations,2011,0,0,0,0
80413,1948,80,HR1366,,0,,,Government Operations,2007,0,0,0,0
80415,1948,80,HR2029,,1,,,Foreign Trade,1807,0,0,0,0
80416,1948,80,,S1507,0,,,Public Lands,2102,0,0,0,0
80417,1948,80,HR3503,,1,,,Public Lands,2103,0,0,0,0
80418,1948,80,,S522,0,,,Public Lands,2102,0,0,0,0
80419,1948,80,,S1485,1,,,Public Lands,2102,0,0,0,0
80420,1948,80,,S1591,0,,,Energy,802,0,0,0,0
80421,1948,80,HR774,,1,,,Defense,1609,0,0,0,0
80422,1948,80,HR5390,,0,,,Housing & Development,1406,0,0,0,0
80423,1948,80,,SJRES173,0,,,Transportation,1007,0,0,0,0
80424,1948,80,,S1133,0,,,Public Lands,2102,0,0,0,0
80425,1948,80,,S1454,0,,,Health,300,0,0,0,0
80426,1948,80,HR4127,,0,,,Government Operations,2004,0,0,0,0
80427,1948,80,HR5391,,0,,,Foreign Trade,1800,0,0,0,0
80429,1948,80,HR4141,,1,,,Domestic Commerce,1505,0,0,0,0
80430,1948,80,HR5525,,0,,,Government Operations,2000,0,0,0,0
80431,1948,80,HJRES231,,0,,,International Affairs,1926,0,0,0,0
80432,1948,80,,S1252,0,,,Defense,1608,0,0,0,0
80433,1948,80,,S1961,0,,,Transportation,1007,0,0,0,0
80434,1948,80,HR2159,,1,,,Public Lands,2101,0,0,0,0
80435,1948,80,HJRES61,,0,,,Public Lands,2104,0,0,0,0
80436,1948,80,,S1195,0,,,Defense,1608,0,0,0,0
80437,1948,80,,S703,1,,,Defense,1699,0,0,0,0
80438,1948,80,,S1802,0,,,Defense,1608,0,0,0,0
80439,1948,80,,S1528,0,,,Health,322,0,0,0,0
80440,1948,80,,S1698,0,,,Public Lands,2102,0,0,0,0
80441,1948,80,HR4023,,1,,,Public Lands,2101,0,0,0,0
80442,1948,80,,S1796,0,,,Public Lands,2101,0,0,0,0
80443,1948,80,HR2161,,0,,,Energy,806,0,0,0,0
80444,1948,80,,S1317,0,,,Public Lands,2102,0,0,0,0
80445,1948,80,HR3973,,1,,,Public Lands,2105,0,0,0,0
80446,1948,80,HR4980,,0,,,Public Lands,2101,0,0,0,0
80447,1948,80,HR3936,,1,,,Public Lands,2101,0,0,0,0
80448,1948,80,HR2293,,0,,,Transportation,1007,0,0,0,0
80449,1948,80,HR3175,,1,,,Public Lands,2103,0,0,0,0
80450,1948,80,HR4838,,1,,,Immigration,900,0,0,0,0
80451,1948,80,,S1733,1,,,Public Lands,2102,0,0,0,0
80452,1948,80,,S1782,0,,,Defense,1609,0,0,0,0
80453,1948,80,,SJRES172,0,,,Transportation,1007,0,0,0,0
80454,1948,80,HR2453,,0,,,Public Lands,2103,0,0,0,0
80455,1948,80,HR3506,,0,,,Government Operations,2008,0,0,0,0
80456,1948,80,HR4836,,0,,,Government Operations,2008,0,0,0,0
80457,1948,80,HR4967,,0,,,Government Operations,2008,0,0,0,0
80458,1948,80,HR5315,,0,,,Defense,1608,0,0,0,0
80459,1948,80,HJRES320,,0,,,Government Operations,2001,0,0,0,0
80460,1948,80,,S1174,0,,,Defense,1612,0,0,0,0
80462,1948,80,,S1990,0,,,Public Lands,2104,0,0,0,0
80463,1948,80,HR2502,,0,,,Public Lands,2102,0,0,0,0
80464,1948,80,,S2182,0,,,Housing & Development,1406,0,0,0,0
80465,1948,80,HR1809,,1,,,Public Lands,2105,0,0,0,0
80467,1948,80,,S203,0,,,Government Operations,2003,0,0,0,0
80468,1948,80,,S2361,0,,,Housing & Development,1410,0,0,0,0
80469,1948,80,HR5314,,0,,,Defense,1604,0,0,0,0
80470,1948,80,HJRES355,,0,,,Defense,1620,0,0,0,0
80471,1948,80,HR4790,,0,,,Macroeconomics,107,0,0,0,0
80472,1948,80,,S2202,0,,,International Affairs,1901,0,0,0,0
80473,1948,80,HR4478,,0,,,Defense,1609,0,0,0,0
80474,1948,80,HR4943,,0,,,Defense,1609,0,0,0,0
80475,1948,80,HR4938,,0,,,Foreign Trade,1807,0,0,0,0
80476,1948,80,HR3229,,0,,,Public Lands,2105,0,0,0,0
80477,1948,80,HR5049,,0,,,Transportation,1005,0,0,0,0
80478,1948,80,HR2298,,0,,,Transportation,1005,0,0,0,0
80479,1948,80,,S1794,0,,,Public Lands,2101,0,0,0,0
80480,1948,80,HR4167,,0,,,Public Lands,2103,0,0,0,0
80481,1948,80,,S805,0,,,Education,602,0,0,0,0
80482,1948,80,,S1306,0,,,Public Lands,2104,0,0,0,0
80483,1948,80,,S1581,0,,,Defense,1611,0,0,0,0
80484,1948,80,,S1799,0,,,Defense,1608,0,0,0,0
80485,1948,80,HR3569,,1,,,Education,601,0,0,0,0
80486,1948,80,,S2081,0,,,Transportation,1003,0,0,0,0
80490,1948,80,HR4739,,0,,,Foreign Trade,1807,0,0,0,0
80491,1948,80,HR5214,,0,,,Government Operations,2000,0,0,0,0
80492,1948,80,HR5052,,0,,,Social Welfare,1303,0,0,0,0
80493,1948,80,HR2645,,0,,,Public Lands,2101,0,0,0,0
80494,1948,80,HR3484,,0,,,Defense,1611,0,0,0,0
80495,1948,80,HR4326,,0,,,Agriculture,402,0,0,0,0
80496,1948,80,,S2038,0,,,Agriculture,405,0,0,0,0
80497,1948,80,HR3703,,0,,,Government Operations,2008,0,0,0,0
80498,1948,80,,SJRES207,0,,,Defense,1699,0,0,0,0
80499,1948,80,,S1583,1,,,Public Lands,2103,0,0,0,0
80500,1948,80,,S560,0,,,Domestic Commerce,1526,0,0,0,0
80501,1948,80,HR4931,,0,,,Domestic Commerce,1522,0,0,0,0
